dataset,series,x_name,x_value,y_name,y_value,units,n,projection_order,field_order,residual_target_count,small_argument_threshold,small_argument_terms,panel_quad_order,self_panel_quad_order,angular_samples,source_doi,h_over_L,kL,P,beta_deg,notes
metric,ConvErrorNFiveTwelve,,,value,2.811422276939432e-05,dimensionless,,,,,,,,,,,,,5,90.0,relative L2_{1/sqrt(1-t^2)} density error against N=800
metric,FlatTSCSRatioTwenty,,,value,0.9999611930060143,dimensionless,,,,,,,,,,,,,5,90.0,sigma/(4L)
metric,BackendMaxDiff,,,value,1.592975341702108e-05,dimensionless,,,,,,,,,,,,,5,90.0,maximum absolute inter-backend spread in sigma/(4L) over 41 kL values
metric,AmpTSCSFlat,,,value,0.9999611534002119,dimensionless,,,,,,,,,,,,,5,90.0,sigma/(4L)
metric,AmpTSCSFive,,,value,0.9948396143031913,dimensionless,,,,,,,,,,,,,5,90.0,sigma/(4L)
metric,AmpTSCSTen,,,value,0.9926828898191332,dimensionless,,,,,,,,,,,,,5,90.0,sigma/(4L)
metric,FreqTSCSTwelve,,,value,1.010973978790923,dimensionless,,,,,,,,,,,,,5,90.0,sigma/(4L)
metric,FreqTSCSSixteen,,,value,0.9968797411936304,dimensionless,,,,,,,,,,,,,5,90.0,sigma/(4L)
metric,FreqTSCSTwenty,,,value,0.9926828898191332,dimensionless,,,,,,,,,,,,,5,90.0,sigma/(4L)
metric,FirstOrderCutoff,,,value,15.70796326794897,kL,,,,,,,,,,,,,5,90.0,normal-incidence first grating-order threshold pi*P
metric,FlatOrderDoublingMaxChange,,,value,5.038187853464397e-06,dimensionless,,,,,,,,,,,,,5,90.0,worst relative TSCS change in the three kL=20 backend order-doubling checks
metric,ProductionMaxTSCSChange,,,value,7.533153066186461e-06,dimensionless,,,,,,,,,,,,,5,90.0,worst relative TSCS change for N=512 versus N=800 over all publication cases
metric,ProductionMaxPatternChange,,,value,2.306639574891816e-05,dimensionless,,,,,,,,,,,,,5,90.0,worst full-complex-pattern relative L2 change for N=512 versus N=800
metric,MARCorrugatedMaxTSCSChange,,,value,2.427893786158151e-06,dimensionless,,,,,,,,,,,,,5,90.0,worst genuine-MAR versus N=800 relative TSCS change over publication cases
metric,MARCorrugatedMaxPatternChange,,,value,7.64399779951309e-06,dimensionless,,,,,,,,,,,,,5,90.0,worst genuine-MAR versus N=800 full-complex-pattern relative L2 change
metric,MARCorrugatedMaxResidual,,,value,9.658357546991294e-07,dimensionless,,,,,,,,,,,,,5,90.0,worst independently evaluated original-IE maximum absolute MAR residual
metric,MARModeDoublingTSCSChange,,,value,3.330798483026618e-16,dimensionless,,,,,,,,,,,,,5,90.0,MAR relative TSCS change for 256 to 512 modes at fixed Q=2048
metric,MARModeDoublingPatternChange,,,value,6.254606797035045e-16,dimensionless,,,,,,,,,,,,,5,90.0,MAR full-complex-pattern relative L2 change for 256 to 512 modes at fixed Q=2048
metric,MARProjectionDoublingTSCSChange,,,value,2.963788900931364e-11,dimensionless,,,,,,,,,,,,,5,90.0,MAR relative TSCS change for Q=2048 to 4096 at fixed 256 modes
metric,MARProjectionDoublingPatternChange,,,value,8.265571719579126e-08,dimensionless,,,,,,,,,,,,,5,90.0,MAR full-complex-pattern relative L2 change for Q=2048 to 4096 at fixed 256 modes
metric,MARProjectionDoubledResidual,,,value,3.0427774021581e-08,dimensionless,,,,,,,,,,,,,5,90.0,original-IE maximum absolute residual for flat-strip MAR at 256 modes and Q=4096
density_convergence,Differentiated Nystrom,N,32,relative_weighted_L2_error,0.6706181319906165,dimensionless,32,,,,,,,,,,0.1,20.0,5,90.0,N_ref=800; 4096 midpoint theta samples
density_convergence,Differentiated Nystrom,N,48,relative_weighted_L2_error,0.09211160834880888,dimensionless,48,,,,,,,,,,0.1,20.0,5,90.0,N_ref=800; 4096 midpoint theta samples
